LLM1: CHATGPT,,,,,,,,,,,,,,,,
LLM2: GEMINI,,,,,,,,,,,,,,,,
ID do artigo,Tipo de publicação,Local de publicação,Título,Link,Ano ,Autores,País,Base de Dados,RQ (Pergunta de Pesquisa),Extração LLM 1 (ChatGPT),Extração LLM 2 (Gemini),Extração validada (humana),ChatGPT acertou?,Gemini acertou?,Concordância entre LLMs,Observações / Comentários
ES03,Journal,Institute of Electrical and Electronics Engineers (IEEE),Enhancing Safety in Collaborative Cable-Driven Parallel Robots: Contact Distinction and Management for Carrying Tasks,https://doi.org/10.1109/tase.2025.3589966,2025,"Gao, H.; Chevallereau, C.; Caro, S.",Itália,Scopus,RQ1,"CDPRs aplicados em tarefas industriais e logísticas de transporte/carrying; impacto: ampliam espaço de trabalho e capacidade de carga, permitindo co-manipulação e assistência humana, mas introduzem riscos específicos (p.ex. colisões com cabo/plataforma). (Gao et al., 2025, p. 18861).","Aplicação em tarefas de transporte de carga em ambientes industriais e logísticos usando Robôs Paralelos Movidos a Cabos (CDPRs). O sistema permite a colaboração humano-robô na colocação/remoção de cargas e lida com colisões não intencionais (Gao et al., 2025, p. 18860-18861). O impacto é a melhoria da segurança e eficiência na colaboração (Gao et al., 2025, p. 18860).","Aplicação: Robôs Paralelos Acionados por Cabos (CDPRs) colaborativos em tarefas de transporte/carregamento em ambientes industriais e logísticos, onde operadores humanos podem colocar/remover cargas ou interagir involuntariamente com os cabos ou a plataforma móvel.
Impacto: O framework proposto para distinção e gerenciamento de contato permite interações mais seguras e eficientes, expandindo a aplicabilidade dos CDPRs colaborativos em ambientes do mundo real, sem comprometer a produtividade.",Sim,Sim,Igual,
ES03,Journal,Institute of Electrical and Electronics Engineers (IEEE),Enhancing Safety in Collaborative Cable-Driven Parallel Robots: Contact Distinction and Management for Carrying Tasks,https://doi.org/10.1109/tase.2025.3589967,2025,"Gao, H.; Chevallereau, C.; Caro, S.",Itália,Scopus,RQ2,"Principal tecnologia descrita: medição de tensões em cabos + análise em domínio de frequência para distinguir cenários de contato; sistema de weight-score e algoritmos de estimação de massa do payload; controladores de conformidade adaptativa e liberação de tensão do cabo; QP para cálculo de tensões. (Gao et al., 2025, pp. 18861–18871).","O framework utiliza análise no domínio da frequência (Spectral Norm Derivative - SND) de chaves externas estimadas para distinguir contatos. Inclui um controlador de trajetória complacente adaptativo e um sistema de pontuação (scoring-based) para classificação de cenários (Gao et al., 2025, p. 18860, 18866).","Tecnologias: CDPR colaborativo com sensores de tensão nos cabos e encoders nos motores. Métricas: Detecção de contato baseada em erro de tensão nos cabos. Algoritmos: Distinção de cenários de contato usando análise no domínio da frequência do esforço externo estimado e um classificador baseado em pontuação (scoring). Estratégias de Gerenciamento: Estimação de massa em tempo real (para colocação de carga), liberação controlada da tensão do cabo (para colisão humano-cabo) e controle de trajetória complacente (para colisão humano-plataforma).",Sim,Sim,Igual,
ES03,Journal,Institute of Electrical and Electronics Engineers (IEEE),Enhancing Safety in Collaborative Cable-Driven Parallel Robots: Contact Distinction and Management for Carrying Tasks,https://doi.org/10.1109/tase.2025.3589968,2025,"Gao, H.; Chevallereau, C.; Caro, S.",Itália,Scopus,RQ3,"Desafios técnicos e de segurança: pressões elevadas em colisões cabo-humano (ordem MPa), risco de falsas classificações (cooperativo vs colisão), necessidade de calibração e atraso/ruído nas medições; recuperação pós-liberação de tensão pode provocar oscilações do MP. (Gao et al., 2025, pp. 18861, 18871).","Os desafios incluem distinguir entre interações voluntárias (colocação de carga) e colisões não intencionais (humano-cabo ou humano-plataforma), e a periculosidade dos cabos finos sob alta tensão que podem causar ferimentos (Gao et al., 2025, p. 18860, 18861). A complexidade aumenta com a possibilidade de classificação errônea de contatos (Gao et al., 2025, p. 18861).","Garantir interação segura durante tarefas colaborativas, especialmente porque cabos finos sob alta tensão podem gerar pressões perigosas em colisões. Distinguir entre cenários de contato diferentes (colocação de carga vs. colisão) de forma rápida e confiável. Lidar com colisões humano-plataforma móvel, um cenário pouco explorado anteriormente. Atrasos na detecção e classificação são uma compensação (trade-off) com a precisão.",Sim,Sim,Igual,
ES03,Journal,Institute of Electrical and Electronics Engineers (IEEE),Enhancing Safety in Collaborative Cable-Driven Parallel Robots: Contact Distinction and Management for Carrying Tasks,https://doi.org/10.1109/tase.2025.3589969,2025,"Gao, H.; Chevallereau, C.; Caro, S.",Itália,Scopus,RQ4,"Fatores organizacionais/ergonômicos/éticos: conformidade com ISO/TS 15066 discutida; necessidade de calibragem, procedimentos de segurança e adaptação de operação para proteger operadores (p.ex. estratégias de liberação de tensão e controle compliance). (Gao et al., 2025, pp. 18861–18871).","O estudo aborda a conformidade com padrões de segurança como ISO/TS 15066, limitando forças de contato e pressão para prevenir lesões (Gao et al., 2025, p. 18861). A estratégia de gerenciamento visa garantir a segurança do operador sem comprometer a produtividade geral, liberando tensão nos cabos em caso de colisão (Gao et al., 2025, p. 18860).","Fatores Ergonômicos/Éticos (Segurança): O trabalho visa cumprir os padrões de segurança ISO/TS 15066, prevenindo lesões durante a interação física humano-robô (pHRI). A liberação da tensão do cabo em colisões reduz o risco para o operador. Futuras validações com mais participantes exigirão aprovações éticas formais e protocolos de segurança reforçados. (Gao, Chevallereau & Caro, 2025, pp. 2, 13)
Fatores Organizacionais: A abordagem proposta é direcionada a cenários industriais típicos que envolvem tarefas de transporte autônomo com participação humana intermitente. ",Sim,Sim,Igual,
ES03,Journal,Institute of Electrical and Electronics Engineers (IEEE),Enhancing Safety in Collaborative Cable-Driven Parallel Robots: Contact Distinction and Management for Carrying Tasks,https://doi.org/10.1109/tase.2025.3589970,2025,"Gao, H.; Chevallereau, C.; Caro, S.",Itália,Scopus,RQ5,"Lacunas e futuro: autores recomendam integrar sensores adicionais (visão, proximidade), explorar mecanismos de amortecimento ativo para reduzir oscilações pós-colisão, e testar em cenários mais amplos para validar adaptabilidade; aponta necessidade de trabalhos de implantação prática. (Gao et al., 2025, pp. 18861, 18871).","Lacunas futuras incluem: reformular colisões como oportunidades de colaboração profunda; integrar abordagens probabilísticas (Softmax/Bayesiana) para classificação; expandir experimentos com mais participantes e cenários industriais realistas; e usar Redes Neurais Informadas pela Física (PINNs) (Gao et al., 2025, p. 18872). Também menciona o potencial de sensoriamento capacitivo para detecção de proximidade (Gao et al., 2025, p. 18873).","Lacunas/Futuro: 1) Reformular colisões como oportunidades para colaboração mais profunda. 2) Integrar classificadores probabilísticos (ex.: softmax) para respostas graduadas, apesar da necessidade de mais dados de treinamento. 3) Expandir a diversidade de condições experimentais e perfis de participantes. 4) Incorporar sensibilidade à proximidade (ex.: sensores capacitivos nos cabos). 5) Explorar a liberação de tensão do cabo em situações onde não é inicialmente viável, usando um controlador de trajetória complacente para reposicionar a plataforma. 6) Usar simuladores multi-física para gerar conjuntos de dados sintéticos e superar limitações experimentais.",Sim,Sim,Igual,
ES04,Journal,Springer Nature Switzerland,Introducing Mobile Robots on the Shop Floor: User Experience Issues,https://doi.org/10.1007/978-3-031-93982-2_1,2025,"Alenljung, B.; Lindblom, J.",Alemanha,Scopus,RQ1,"Estudo de caso: robôs móveis entregando peças pesadas na linha de montagem e circulando por corredor ocupado; impacto observado: diferenças claras na UX entre operadores e caminhoneiros (truck drivers) e percepção limitada de benefício pessoal apesar de vantagens para a empresa. (Alenljung & Lindblom, 2025, pp. 4, 16).","Aplicação em uma fábrica de manufatura onde robôs móveis entregam peças pesadas para a linha de montagem, compartilhando espaço com operadores e motoristas de empilhadeira (Alenljung & Lindblom, 2025, p. 3). O impacto variou entre grupos: operadores tiveram uma experiência mais positiva, enquanto motoristas de caminhão relataram interrupções no fluxo de tráfego, congestionamento e aumento da carga cognitiva (Alenljung & Lindblom, 2025, p. 9, 14).","Robôs móveis em uma fábrica de manufatura, realizando entrega de peças pesadas à linha de montagem. Eles compartilham o espaço com operadores de linha e motoristas de empilhadeiras internas.
Impacto: Os robôs foram percebidos como beneficiando a empresa (ex.: aliviando carga de trabalho), mas os operadores e motoristas não relataram benefícios pessoais significativos. Houve diferenças na experiência do usuário (UX), com motoristas enfrentando mais desafios e avaliando a UX pior do que os operadores.",Parcialmente,Sim,Diferente,
ES04,Journal,Springer Nature Switzerland,Introducing Mobile Robots on the Shop Floor: User Experience Issues,https://doi.org/10.1007/978-3-031-93982-2_2,2025,"Alenljung, B.; Lindblom, J.",Alemanha,Scopus,RQ2,"Tecnologias mencionadas de suporte/ contexto: robôs móveis autônomos integrados no chão de fábrica; coleta de dados via UEQ (questionário) e entrevistas para avaliar UX — o foco é mais em avaliação de experiência do usuário que em novas tecnologias embarcadas. (Alenljung & Lindblom, 2025, pp. 4–6).","O estudo foca na introdução de robôs móveis, flexíveis e colaborativos em ambientes industriais (Industry 4.0/5.0), operando de forma autônoma em espaços compartilhados (Alenljung & Lindblom, 2025, p. 3).",Robôs móveis e colaborativos são a tecnologia central. O estudo avaliou a UX através de questionários (UEQ - User Experience Questionnaire) e entrevistas semiestruturadas.,Sim,Sim,Igual,
ES04,Journal,Springer Nature Switzerland,Introducing Mobile Robots on the Shop Floor: User Experience Issues,https://doi.org/10.1007/978-3-031-93982-2_3,2025,"Alenljung, B.; Lindblom, J.",Alemanha,Scopus,RQ3,"Problemas identificados: falta de situational awareness (robô discreto difícil de detectar), ambiguidade sobre autoridade/prioridade entre veículos, incremento de tarefas (carregar/recuperar robôs), e risco de congestionamento à medida que o número de robôs cresce. (Alenljung & Lindblom, 2025, p. 16).","Desafios de segurança e visibilidade foram críticos, com robôs sendo difíceis de detectar por motoristas devido à baixa altura (pontos cegos) e comportamentos imprevisíveis (paradas inesperadas) (Alenljung & Lindblom, 2025, p. 11, 14). Outro desafio é a falta de feedback de status do robô (não se sabe se está parado ou prestes a mover-se) (Alenljung & Lindblom, 2025, p. 14).","Desafios Técnicos e de Segurança: Visibilidade/Detecção do robô (pontos cegos), comportamento imprevisível do robô em situações atípicas, falta de mecanismos claros de feedback sobre seu status, gerenciamento de tráfego em espaços compartilhados.
Desafios de Aceitação/Cognitivos: Aumento da carga cognitiva e microestresse para os motoristas, interrupções no fluxo de trabalho, falta de clareza sobre autoridade e prioridades em encontros, apoio insuficiente ao aprendizado.",Sim,Sim,Igual,
ES04,Journal,Springer Nature Switzerland,Introducing Mobile Robots on the Shop Floor: User Experience Issues,https://doi.org/10.1007/978-3-031-93982-2_4,2025,"Alenljung, B.; Lindblom, J.",Alemanha,Scopus,RQ4,"Organizacional/ergonômico/ético: impacto sobre bem-estar e fluxo de trabalho; diferentes grupos (operadores vs truck drivers) exigem abordagens distintas; preocupações sobre substituição de funções e responsabilidade pela resolução de problemas do robô. (Alenljung & Lindblom, 2025, pp. 4, 16).","Fatores organizacionais incluem a necessidade de regras claras de prioridade e tráfego (quem deve ceder passagem?) e treinamento insuficiente, especialmente para motoristas (Alenljung & Lindblom, 2025, p. 15). Ergonomicamente, houve aumento da carga cognitiva e ""microestresse"" para os motoristas, que precisavam monitorar constantemente os robôs (Alenljung & Lindblom, 2025, p. 12, 14). Nenhum grupo percebeu benefícios pessoais diretos, apenas para a empresa (Alenljung & Lindblom, 2025, p. 15).","Fatores Ergonômicos (Ambiente de Trabalho): Identificados problemas no ambiente de trabalho físico (ex.: riscos de colisão, esforço para liberar robô preso) e cognitivo (ex.: aumento da carga cognitiva, interrupções, necessidade de maior consciência situacional).
Fatores Organizacionais: Necessidade de treinamento adequado (não apenas para interação normal, mas também para lidar com erros), estabelecimento de regras claras de gerenciamento de tráfego e prioridades.
Fatores Éticos: O estudo foi submetido a uma autoridade de revisão ética (Swedish Ethical Review Authority), que não levantou objeções.",Sim,Sim,Igual,
ES04,Journal,Springer Nature Switzerland,Introducing Mobile Robots on the Shop Floor: User Experience Issues,https://doi.org/10.1007/978-3-031-93982-2_5,2025,"Alenljung, B.; Lindblom, J.",Alemanha,Scopus,RQ5,"Lacunas e futuro: necessidade de desenhar estratégias UX centradas por grupo de usuários, clarificar regras de prioridade/autoridade, estudar efeitos de escala (mais robôs) e desenvolver medidas para manter a sustentabilidade do local de trabalho a longo prazo. (Alenljung & Lindblom, 2025, p. 16).","O estudo sugere a necessidade de melhorar a visibilidade do robô e a consciência situacional, além de mecanismos de feedback de status. Pesquisas futuras incluirão estudos comparativos em espaços mais estreitos e o desenvolvimento de um framework de estratégias de design de interação HRI validado teoricamente (Alenljung & Lindblom, 2025, p. 16-17).","O tamanho da amostra foi pequeno (8 participantes). O estudo foi uma pós-avaliação, dependendo da memória dos participantes, sem observação em tempo real. Futuras pesquisas incluirão um estudo de acompanhamento no mesmo local e um estudo comparativo em outra empresa com espaço mais estreito compartilhado, visando formular uma estrutura de estratégias de design para interação humano-robô.",Sim,Sim,Igual,
ES05,Journal,Singapore Juzhi Journal Publishing PTE. Ltd.,Model predictive-based compliance control for knee arthroplasty surgical robots; 基于模型预测的膝关节置换手术机器人柔顺控制,https://doi.org/10.69979/3041-0673.25.07.018,2024,"Hu, P.; Zhang, L.; Yang, H.; Yang, Y.",China,Scopus,RQ1,"Aplicação: controlador para robôs cirúrgicos semi-ativos em artroplastia de joelho; impacto relatado: melhoria da conformidade/seguimento da intenção do cirurgião e cumprimento de limites de segurança de movimento durante a cirurgia. (Hu et al., 2024, pp. 1640–1645).","O artigo foca em robôs cirúrgicos semi-ativos para artroplastia de joelho (substituição da articulação). O impacto é a melhoria da precisão e segurança da cirurgia através da colaboração humano-robô (Hu et al., 2024, p. 1639). O sistema permite que o robô siga a intenção de movimento do médico de forma suave (Hu et al., 2024, p. 1639).","Aplicação específica em cirurgia robótica de artroplastia do joelho (substituição do joelho). O robô cirúrgico de controle semiativo colabora com o cirurgião, facilitando o corte ósseo preciso. O impacto é o aumento da precisão, segurança e ergonomia da cirurgia, reduzindo a dependência da experiência subjetiva do cirurgião e o risco de falhas. ",Sim,Sim,Igual,
